omega,n_sites,rep,branch,NOE,pvalue,is_fg
1.25,1000,3,C,0.10637500000000003,0.2,False
1.25,1000,3,D,0.03700000000000002,0.5,False
1.25,1000,4,A,0.15537500000000004,0.02,True
1.25,1000,4,B,0.0010000000000000425,0.38,False
1.25,1000,4,C,0.046000000000000055,0.2,False
1.25,1000,4,D,-0.09212499999999997,0.58,False
1.25,1000,5,A,0.007750000000000028,0.18,True
1.25,1000,5,B,0.14462500000000003,0.04,False
1.25,1000,5,C,-0.057874999999999975,0.62,False
1.25,1000,5,D,-0.034124999999999975,0.44,False
1.25,1000,6,A,0.035000000000000045,0.12,True
1.25,1000,6,B,-0.016249999999999966,0.48,False
1.25,1000,6,C,-0.13999999999999996,0.88,False
1.25,1000,6,D,0.14312500000000006,0.0,False
1.25,1000,7,A,0.017000000000000022,0.44,True
1.25,1000,7,B,0.040125000000000036,0.18,False
1.25,1000,7,C,-0.10424999999999998,0.76,False
1.25,1000,7,D,0.019500000000000024,0.4,False
1.25,1000,8,A,0.008125000000000049,0.5,True
1.25,1000,8,B,-0.20687499999999998,1.0,False
1.25,1000,8,C,0.265,0.0,False
1.25,1000,8,D,0.006875000000000034,0.6,False
1.25,1000,9,A,-0.07137499999999995,0.42,True
1.25,1000,9,B,0.03425000000000003,0.1,False
1.25,1000,9,C,-0.055749999999999966,0.38,False
1.25,1000,9,D,0.19050000000000006,0.0,False
1.25,1000,10,A,0.04250000000000004,0.24,True
1.25,1000,10,B,0.09937500000000002,0.04,False
1.25,1000,10,C,-0.09499999999999997,0.7,False
1.25,1000,10,D,-0.04749999999999998,0.46,False
1.25,1000,11,A,-0.04624999999999997,0.58,True
1.25,1000,11,B,0.0031250000000000236,0.56,False
1.25,1000,11,C,-0.015624999999999958,0.56,False
1.25,1000,11,D,-0.025624999999999953,0.46,False
1.25,1000,12,A,0.047125000000000056,0.06,True
1.25,1000,12,B,-0.05099999999999996,0.48,False
1.25,1000,12,C,-0.10474999999999997,0.78,False
1.25,1000,12,D,-0.004749999999999963,0.18,False
1.25,1000,13,A,-0.01649999999999998,0.16,True
1.25,1000,13,B,-0.08149999999999996,0.4,False
1.25,1000,13,C,-0.0033749999999999752,0.1,False
1.25,1000,13,D,0.09850000000000005,0.0,False
1.25,1000,14,A,0.14412500000000006,0.08,True
1.25,1000,14,B,-0.08024999999999999,0.94,False
1.25,1000,14,C,-0.042749999999999996,0.9,False
1.25,1000,14,D,-0.042124999999999996,0.84,False
1.25,1000,15,A,-0.011249999999999961,0.3,True
1.25,1000,15,B,0.07812500000000003,0.12,False
1.25,1000,15,C,-0.02437499999999996,0.62,False
1.25,1000,15,D,-0.08749999999999998,0.74,False
1.25,1000,16,A,-0.008749999999999971,0.34,True
1.25,1000,16,B,0.010625000000000037,0.24,False
1.25,1000,16,C,0.037500000000000054,0.22,False
1.25,1000,16,D,-0.09187499999999996,0.72,False
1.25,1000,17,A,0.09412500000000003,0.12,True
1.25,1000,17,B,-0.025874999999999964,0.66,False
1.25,1000,17,C,-0.03962499999999996,0.56,False
1.25,1000,17,D,0.021625000000000054,0.24,False
1.25,1000,18,A,0.05975,0.28,True
1.25,1000,18,B,-0.10900000000000001,0.92,False
1.25,1000,18,C,-0.03337499999999999,0.82,False
1.25,1000,18,D,0.10912500000000003,0.1,False
1.25,1000,19,A,0.12037500000000007,0.02,True
1.25,1000,19,B,-0.062124999999999944,0.82,False
1.25,1000,19,C,0.11787500000000004,0.08,False
1.25,1000,19,D,-0.07337499999999998,0.66,False
1.25,3000,0,A,-0.019333333333333313,0.52,True
1.25,3000,0,B,-0.008708333333333294,0.48,False
1.25,3000,0,C,0.004416666666666701,0.58,False
1.25,3000,0,D,-0.02329166666666664,0.54,False
1.25,3000,1,A,0.02829166666666668,0.4,True
1.25,3000,1,B,-0.09379166666666666,1.0,False
1.25,3000,1,C,0.03516666666666669,0.42,False
1.25,3000,1,D,-0.02337499999999998,0.8,False
1.25,3000,2,A,0.03216666666666668,0.26,True
1.25,3000,2,B,-0.0434583333333333,0.78,False
1.25,3000,2,C,0.07383333333333336,0.08,False
1.25,3000,2,D,0.0013333333333333513,0.58,False
1.25,3000,3,A,-0.012541666666666633,0.7,True
1.25,3000,3,B,0.057458333333333375,0.38,False
1.25,3000,3,C,0.07100000000000004,0.06,False
1.25,3000,3,D,-0.08170833333333329,0.98,False
1.25,3000,4,A,-0.0518333333333333,0.92,True
1.25,3000,4,B,-0.014958333333333297,0.7,False
1.25,3000,4,C,-0.01745833333333331,0.84,False
1.25,3000,4,D,0.05879166666666669,0.2,False
1.25,3000,5,A,-0.033416666666666636,0.86,True
1.25,3000,5,B,-0.0369583333333333,0.72,False
