omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.25,1000,8,10,B,0.054305555555555565,0.06,0.1691087578771151,False
1.25,1000,8,10,C,-0.010069444444444438,0.44,0.15533379530212657,False
1.25,1000,8,10,D,0.07805555555555557,0.06,0.15189066944010407,False
1.25,1000,8,10,E,-0.08694444444444441,0.68,0.1190202820795527,False
1.25,1000,8,10,F,-0.03444444444444443,0.4,0.1472933855785289,False
1.25,1000,8,10,G,-0.029444444444444454,0.46,0.1491952758101746,False
1.25,1000,8,10,H,0.03680555555555555,0.18,0.1495964865773802,False
1.25,1000,8,11,A,0.06597222222222221,0.5,0.14771912343705657,True
1.25,1000,8,11,B,-0.21590277777777778,1.0,0.1285263774747819,False
1.25,1000,8,11,C,-0.06527777777777777,0.94,0.14532746255769002,False
1.25,1000,8,11,D,0.0009722222222222146,0.74,0.15077986570240262,False
1.25,1000,8,11,E,0.026597222222222223,0.52,0.1542503213975082,False
1.25,1000,8,11,F,0.15222222222222223,0.18,0.15667032969515998,False
1.25,1000,8,11,G,0.037222222222222226,0.6,0.1565325839743247,False
1.25,1000,8,11,H,0.09597222222222224,0.38,0.14836792147717376,False
1.25,1000,8,12,A,0.11576388888888889,0.02,0.1519173371107288,True
1.25,1000,8,12,B,0.02888888888888891,0.14,0.12778483525195924,False
1.25,1000,8,12,C,-0.08986111111111109,0.72,0.1329420256199142,False
1.25,1000,8,12,D,-0.059861111111111115,0.44,0.14607232401311548,False
1.25,1000,8,12,E,-0.12611111111111112,0.72,0.12762305699177529,False
1.25,1000,8,12,F,0.06138888888888891,0.1,0.1433831873893377,False
1.25,1000,8,12,G,0.1595138888888889,0.0,0.15385036997873158,False
1.25,1000,8,12,H,-0.1417361111111111,0.76,0.1313867233201849,False
1.25,1000,8,13,A,-0.019027777777777786,0.58,0.1336954717507914,True
1.25,1000,8,13,B,0.020972222222222253,0.26,0.13256484262427953,False
1.25,1000,8,13,C,0.07784722222222222,0.2,0.14872869828800508,False
1.25,1000,8,13,D,0.11347222222222221,0.1,0.14095778524871275,False
1.25,1000,8,13,E,0.040347222222222236,0.32,0.1460123900754849,False
1.25,1000,8,13,F,-0.15090277777777777,0.96,0.14009700260494115,False
1.25,1000,8,13,G,-0.005902777777777778,0.52,0.15502435964497105,False
1.25,1000,8,13,H,-0.14527777777777778,0.96,0.12425751709878786,False
1.25,1000,8,14,A,0.013541666666666674,0.46,0.1192911645699062,True
1.25,1000,8,14,B,0.046041666666666675,0.22,0.1486025763385159,False
1.25,1000,8,14,C,-0.12708333333333333,0.88,0.1342869543593536,False
1.25,1000,8,14,D,0.01416666666666664,0.42,0.15517575161373923,False
1.25,1000,8,14,E,-0.10833333333333335,1.0,0.1221018188507717,False
1.25,1000,8,14,F,0.11479166666666668,0.14,0.1490234414819062,False
1.25,1000,8,14,G,0.14604166666666668,0.06,0.14085798600797267,False
1.25,1000,8,14,H,-0.0395833333333333,0.62,0.13538397041173098,False
1.25,1000,8,15,A,-0.02805555555555556,0.48,0.14726090293744168,True
1.25,1000,8,15,B,0.006319444444444447,0.34,0.14042751908826112,False
1.25,1000,8,15,C,0.006319444444444461,0.38,0.15065168364127438,False
1.25,1000,8,15,D,0.10194444444444443,0.08,0.13736139197814223,False
1.25,1000,8,15,E,-0.04055555555555556,0.52,0.1333037438232098,False
1.25,1000,8,15,F,-0.12993055555555555,0.9,0.13164263728221673,False
1.25,1000,8,15,G,-0.07493055555555556,0.82,0.14713175286326632,False
1.25,1000,8,15,H,0.03631944444444445,0.26,0.1498877216102312,False
