k,condition,rep,pvalue,mb_obs,mb_null_mean,significant
10,neutral,14,0.52,0.03417780862392459,0.03420458824381663,0
10,neutral,15,0.38,0.0395904623652337,0.035330645908989974,0
10,selection,1,0.68,0.03010185059997109,0.034719654454279776,0
10,selection,2,0.78,0.029534931902586305,0.037019059294776356,0
10,selection,3,0.56,0.03617096123621872,0.03744607397485233,0
10,selection,4,0.54,0.03490562749227065,0.03582356014851535,0
10,selection,5,0.46,0.032715750146271684,0.033867185652269496,0
10,selection,6,0.32,0.03786181346394924,0.033827387476044864,0
10,selection,7,0.42,0.03618158880419189,0.035406434502450214,0
10,selection,8,0.78,0.03091986095193564,0.03632236621961588,0
10,selection,9,0.32,0.0365809578727054,0.033722559677600045,0
10,selection,10,0.64,0.03040252191166585,0.03299496429453388,0
10,selection,11,0.5,0.03181539407483715,0.033980432021075264,0
10,selection,12,0.6,0.03402452973144488,0.03603080890618754,0
10,selection,13,0.36,0.03919938812514544,0.03608649036908504,0
10,selection,14,0.48,0.0340685462546471,0.03542411858359372,0
10,selection,15,0.2,0.04423813338858834,0.036128395270484684,0
15,neutral,1,0.32,0.048077937508915536,0.04516038514005013,0
15,neutral,2,0.04,0.05392798317513155,0.04243680649253376,1
15,neutral,3,0.2,0.05078273677597202,0.04268659052157579,0
15,neutral,4,0.52,0.04107521268767295,0.0417511052192877,0
15,neutral,5,0.94,0.034001713438605044,0.044067971383418135,0
15,neutral,6,0.4,0.04539794485308887,0.043993497103540655,0
15,neutral,7,0.24,0.05019383036280123,0.043022928678851595,0
15,neutral,8,0.6,0.03795346355120695,0.04083376061700413,0
15,neutral,9,0.24,0.04883085523928103,0.043790846070618776,0
15,neutral,10,1.0,0.02766403042337811,0.04281203472075077,0
15,neutral,11,0.26,0.04464275649705397,0.041139387033675076,0
15,neutral,12,0.86,0.03365190195874083,0.04351695045810296,0
15,neutral,13,0.48,0.04458775393373288,0.044121599640696604,0
15,neutral,14,0.9,0.03568724005366364,0.04553898093933148,0
15,neutral,15,0.26,0.050675455908021076,0.04507654865893287,0
15,selection,1,0.44,0.04392547036995276,0.042907010665943685,0
15,selection,2,0.34,0.04638615289607368,0.04447012548899131,0
15,selection,3,0.78,0.04076854765723306,0.045251893958944425,0
15,selection,4,0.14,0.0489977835118765,0.041423178953244856,0
15,selection,5,0.16,0.0537373456599249,0.04568937242505442,0
15,selection,6,0.32,0.04717693481608248,0.04371216923495491,0
15,selection,7,0.14,0.04667760436048927,0.04162189505596461,0
15,selection,8,0.04,0.05432521482291419,0.04334970932450934,1
15,selection,9,0.12,0.052754793041455146,0.04101109007092357,0
15,selection,10,0.28,0.04679175230816583,0.04357874239950501,0
15,selection,11,0.02,0.06113542333241149,0.045372415589098616,1
15,selection,12,0.3,0.04660420622627708,0.04354272847760079,0
15,selection,13,0.58,0.042562092451829056,0.04338464981177128,0
15,selection,14,0.06,0.05496299528443972,0.0420454098433465,0
15,selection,15,0.58,0.04108957977091607,0.042538696944520796,0
25,neutral,1,0.92,0.044972166068826765,0.05461278441567632,0
25,neutral,2,0.76,0.04926493914609839,0.05703489150754744,0
25,neutral,3,0.82,0.04764602845388092,0.055752431720054806,0
25,neutral,4,0.18,0.0652266644263608,0.05488822889569947,0
25,neutral,5,0.4,0.05938213422725953,0.056436789865867226,0
25,neutral,6,0.68,0.04874953125320212,0.05394738005990783,0
25,neutral,7,0.08,0.06315263301668957,0.05222173279828336,0
25,neutral,8,0.62,0.051881895235858316,0.054705760888284855,0
25,neutral,9,0.48,0.055541968825777846,0.054593252730030406,0
25,neutral,10,0.8,0.05175157667867292,0.05717781006685318,0
25,neutral,11,0.42,0.05977895700466359,0.05713353797781979,0
25,neutral,12,0.0,0.0853013332922338,0.05606746362700645,1
25,neutral,13,0.2,0.06231040666922021,0.0561216492545347,0
25,neutral,14,0.84,0.04576123428472392,0.05492430062684205,0
25,neutral,15,0.76,0.049328427579314736,0.053470356772213394,0
25,selection,1,0.94,0.03980300247132776,0.053243087571490745,0
25,selection,2,0.16,0.06055580538598073,0.05150285080435558,0
25,selection,3,0.22,0.062419130118757535,0.0561820369043709,0
25,selection,4,0.56,0.05311217928880945,0.05448105154403057,0
25,selection,5,0.62,0.05234939929115525,0.055756948126450254,0
25,selection,6,0.52,0.052991183639699076,0.053699564267735075,0
25,selection,7,0.38,0.0551296608244105,0.05403904905343481,0
25,selection,8,0.76,0.05129373966926521,0.05532995562555604,0
25,selection,9,0.08,0.06616957997057211,0.055103576204003614,0
25,selection,10,0.12,0.0637177995513133,0.054653880263365345,0
25,selection,11,0.16,0.06260334527680277,0.05556648955310428,0
25,selection,12,0.08,0.06630540388854257,0.05531265022804364,0
25,selection,13,0.64,0.05271178729508387,0.05562489942581182,0
25,selection,14,0.96,0.04300348338703676,0.05714090011329107,0
25,selection,15,0.58,0.05429188365211703,0.05463840460027096,0
