regime,omega,rep,branch,NOE,pvalue,is_fg
standard,3.0,1,C,0.015125000000000013,0.18,False
standard,3.0,1,D,-0.060499999999999984,0.62,False
standard,3.0,2,A,0.061500000000000034,0.56,True
standard,3.0,2,B,-0.06724999999999996,0.96,False
standard,3.0,2,C,-0.010374999999999981,0.78,False
standard,3.0,2,D,-0.06537499999999996,0.96,False
standard,3.0,3,A,0.2965000000000001,0.0,True
standard,3.0,3,B,-0.035999999999999976,0.56,False
standard,3.0,3,C,-0.027874999999999955,0.64,False
standard,3.0,3,D,-0.14224999999999996,0.96,False
standard,3.0,4,A,0.3355000000000001,0.0,True
standard,3.0,4,B,0.017375000000000036,0.08,False
standard,3.0,4,C,-0.27949999999999997,0.98,False
standard,3.0,4,D,-0.046374999999999944,0.38,False
standard,3.0,5,A,0.13850000000000004,0.02,True
standard,3.0,5,B,0.07600000000000001,0.1,False
standard,3.0,5,C,-0.08087499999999997,0.78,False
standard,3.0,5,D,-0.20899999999999996,0.98,False
standard,3.0,6,A,0.07525000000000007,0.06,True
standard,3.0,6,B,-0.11287499999999995,0.88,False
standard,3.0,6,C,-0.033499999999999974,0.7,False
standard,3.0,6,D,0.08587500000000005,0.1,False
standard,3.0,7,A,-0.024249999999999983,0.22,True
standard,3.0,7,B,0.05825000000000002,0.04,False
standard,3.0,7,C,0.008875000000000032,0.06,False
standard,3.0,7,D,-0.06487499999999997,0.38,False
standard,3.0,8,A,-0.036749999999999956,0.32,True
standard,3.0,8,B,0.08637500000000006,0.1,False
standard,3.0,8,C,-0.06049999999999997,0.38,False
standard,3.0,8,D,0.04825000000000006,0.12,False
standard,3.0,9,A,0.04287500000000004,0.08,True
standard,3.0,9,B,-0.08774999999999995,0.34,False
standard,3.0,9,C,0.06287500000000003,0.02,False
standard,3.0,9,D,-0.10837499999999997,0.54,False
standard,3.0,10,A,0.16712500000000002,0.02,True
standard,3.0,10,B,-0.06287499999999996,0.52,False
standard,3.0,10,C,-0.13287499999999997,0.86,False
standard,3.0,10,D,-0.04474999999999997,0.46,False
standard,3.0,11,A,0.018500000000000023,0.16,True
standard,3.0,11,B,0.061000000000000026,0.1,False
standard,3.0,11,C,0.009750000000000043,0.42,False
standard,3.0,11,D,-0.10087499999999994,0.78,False
standard,3.0,12,A,0.26562500000000006,0.0,True
standard,3.0,12,B,-0.10249999999999998,0.62,False
standard,3.0,12,C,-0.11124999999999999,0.58,False
standard,3.0,12,D,-0.103125,0.7,False
standard,3.0,13,A,0.14975000000000005,0.06,True
standard,3.0,13,B,0.009125000000000051,0.42,False
standard,3.0,13,C,-0.045874999999999964,0.56,False
standard,3.0,13,D,-0.08274999999999996,0.74,False
standard,3.0,14,A,-0.007374999999999979,0.46,True
standard,3.0,14,B,0.06200000000000003,0.24,False
standard,3.0,14,C,0.010125000000000037,0.3,False
standard,3.0,14,D,-0.09237499999999997,0.82,False
standard,3.0,15,A,0.13087500000000002,0.0,True
standard,3.0,15,B,0.057125000000000065,0.12,False
standard,3.0,15,C,-0.06787499999999996,0.56,False
standard,3.0,15,D,0.004625000000000042,0.3,False
standard,3.0,16,A,0.13162500000000002,0.02,True
standard,3.0,16,B,-0.007124999999999954,0.18,False
standard,3.0,16,C,-0.010874999999999965,0.2,False
standard,3.0,16,D,-0.08524999999999996,0.42,False
standard,3.0,17,A,-0.01749999999999996,0.3,True
standard,3.0,17,B,-0.018124999999999974,0.22,False
standard,3.0,17,C,-0.003124999999999954,0.24,False
standard,3.0,17,D,0.011250000000000038,0.26,False
standard,3.0,18,A,0.15262500000000004,0.06,True
standard,3.0,18,B,-0.08799999999999997,0.8,False
standard,3.0,18,C,-0.015499999999999951,0.46,False
standard,3.0,18,D,-0.121125,0.96,False
standard,3.0,19,A,0.24087500000000003,0.0,True
standard,3.0,19,B,-0.032874999999999974,0.16,False
standard,3.0,19,C,-0.05537499999999997,0.3,False
standard,3.0,19,D,-0.06912499999999996,0.28,False
long,1.0,0,A,-0.015999999999999952,0.38,False
